ref_area,indicator,source,sex,classif1,classif2,time,obs_value,note_source
X01,POP_2LDR_NOC_RT,XA:8405,,,,1991,1.3770390349,
X01,POP_2LDR_NOC_RT,XA:8405,,,,1992,1.3749356766,
X01,POP_2LDR_NOC_RT,XA:8405,,,,1993,1.379588782,
X01,POP_2LDR_NOC_RT,XA:8405,,,,1994,1.3769690338,
X01,POP_2LDR_NOC_RT,XA:8405,,,,1995,1.3767599718,
X01,POP_2LDR_NOC_RT,XA:8405,,,,1996,1.3722548328,
X01,POP_2LDR_NOC_RT,XA:8405,,,,1997,1.3663704435,
X01,POP_2LDR_NOC_RT,XA:8405,,,,1998,1.3656924579,
X01,POP_2LDR_NOC_RT,XA:8405,,,,1999,1.3578911566,
X01,POP_2LDR_NOC_RT,XA:8405,,,,2000,1.3463741862,
X01,POP_2LDR_NOC_RT,XA:8405,,,,2001,1.3479420111,
X01,POP_2LDR_NOC_RT,XA:8405,,,,2002,1.3494527862,
X01,POP_2LDR_NOC_RT,XA:8405,,,,2003,1.3439903601,
X01,POP_2LDR_NOC_RT,XA:8405,,,,2004,1.3299833642,
X01,POP_2LDR_NOC_RT,XA:8405,,,,2005,1.3199586689,
X01,POP_2LDR_NOC_RT,XA:8405,,,,2006,1.3127645284,
X01,POP_2LDR_NOC_RT,XA:8405,,,,2007,1.3046584173,
X01,POP_2LDR_NOC_RT,XA:8405,,,,2008,1.3064406396,
X01,POP_2LDR_NOC_RT,XA:8405,,,,2009,1.3258936306,
X01,POP_2LDR_NOC_RT,XA:8405,,,,2010,1.3299737469,
X01,POP_2LDR_NOC_RT,XA:8405,,,,2011,1.3309888724,
X01,POP_2LDR_NOC_RT,XA:8405,,,,2012,1.3327166045,
X01,POP_2LDR_NOC_RT,XA:8405,,,,2013,1.3366956608,
X01,POP_2LDR_NOC_RT,XA:8405,,,,2014,1.3372215537,
X01,POP_2LDR_NOC_RT,XA:8405,,,,2015,1.3388138628,
X01,POP_2LDR_NOC_RT,XA:8405,,,,2016,1.3424776577,
X01,POP_2LDR_NOC_RT,XA:8405,,,,2017,1.3409272032,
X01,POP_2LDR_NOC_RT,XA:8405,,,,2018,1.337689812,
X01,POP_2LDR_NOC_RT,XA:8405,,,,2019,1.3404876612,
X01,POP_2LDR_NOC_RT,XA:8405,,,,2020,1.3438761501,
X01,POP_2LDR_NOC_RT,XA:8405,,,,2021,1.3486847748,
X01,POP_2LDR_NOC_RT,XA:8405,,,,2022,1.3532722988,
X01,POP_2LDR_NOC_RT,XA:8405,,,,2023,1.3573807338,
X01,POP_2LDR_NOC_RT,XA:8405,,,,2024,1.3614926163,
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_T,AGE_5YRBANDS_TOTAL,,1990,5325639.146,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_T,AGE_5YRBANDS_Y00-04,,1990,643374.955,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_T,AGE_5YRBANDS_Y05-09,,1990,575610.064,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_T,AGE_5YRBANDS_Y10-14,,1990,528622.683,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_T,AGE_5YRBANDS_Y15-19,,1990,518728.561,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_T,AGE_5YRBANDS_Y20-24,,1990,490032.395,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_T,AGE_5YRBANDS_Y25-29,,1990,438367.573,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_T,AGE_5YRBANDS_Y30-34,,1990,385466.454,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_T,AGE_5YRBANDS_Y35-39,,1990,350024.736,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_T,AGE_5YRBANDS_Y40-44,,1990,280465.163,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_T,AGE_5YRBANDS_Y45-49,,1990,227845.679,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_T,AGE_5YRBANDS_Y50-54,,1990,213928.882,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_T,AGE_5YRBANDS_Y55-59,,1990,185394.065,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_T,AGE_5YRBANDS_Y60-64,,1990,159688.381,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_T,AGE_5YRBANDS_YGE65,,1990,328089.555,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_M,AGE_5YRBANDS_TOTAL,,1990,2680097.968,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_M,AGE_5YRBANDS_Y00-04,,1990,330556.77,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_M,AGE_5YRBANDS_Y05-09,,1990,295106.03,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_M,AGE_5YRBANDS_Y10-14,,1990,270490.293,R1:2474
